학교명,학제,설립구분,시,지역,학교홈페이지,평균등록금(원),교외장학금 국가,교외장학금 지방자치단체,교외장학금 사설및기타,교내장학금 성적우수장학금,교내장학금 근로장학금,교내장학금 기타장학금
가야대학교,대학교,사립,"경남, 경북","김해시, 고령군",www.kaya.ac.kr,6833450,4701192873,5438560,46300000,592548990,117497462,474536000
가천대학교,대학교,사립,경기,성남시,www.gachon.ac.kr,8330044,38565866879,97550440,1361531940,6279840000,1445094011,11842199040
가톨릭관동대학교,대학교,사립,강원,강릉시,www.cku.ac.kr,7185831,17562903302,430489570,664507320,2045134790,236506774,3206513498
가톨릭꽃동네대학교,대학교,사립,충북,청주시,www.kkot.ac.kr,7397204,1572115751,2330640,79208000,96244000,125041136,161735634
가톨릭대학교,대학교,사립,"서울, 경기","부천시, 서초구, 종로구",www.catholic.ac.kr,7314392,15553160356,86756476,963476924,3885018100,574840354,2420531904
가톨릭상지대학교,전문대학,사립,경북,안동시,www.csj.ac.kr,5840060,5125293760,0,72665000,217243000,22122546,1370014779
감리교신학대학교,대학교,사립,서울,서대문구,www.mtu.ac.kr,6470097,2222984708,20500000,247130731,230396800,47354712,50694000
강남대학교,대학교,사립,경기,용인시,www.kangnam.ac.kr,7535147,15180780166,6390600,148817000,2261507500,298030334,1366382590
강동대학교,전문대학,사립,충북,음성군,www.gangdong.ac.kr,5801738,9016787166,40880870,77330000,232470500,47429122,1680149857
강릉영동대학교,전문대학,사립,강원,강릉시,www.gyc.ac.kr,6042265,6566183864,174876700,94691500,369362700,29593426,1125749640
강릉원주대학교,대학교,국립,강원,"강릉시, 원주시",www.gwnu.ac.kr,4262795,15808507400,181444580,464545160,2833921270,507173000,1483084310
강원관광대학교,전문대학,사립,강원,태백시,www.kt.ac.kr,5487000,845322600,482790000,4000000,73850000,0,128049000
강원대학교,대학교,국립,강원,"춘천시, 삼척시",www.kangwon.ac.kr/,4145285,37080248970,2787591340,1997861499,4548543150,3226232940,2483004396
거제대학교,전문대학,사립,경남,거제시,www.geoje.ac.kr,6212299,2855626117,3000000,27200000,124495500,47027648,398503100
건국대학교,대학교,사립,"충북, 서울","광진구, 충주시",www.konkuk.ac.kr,8239083,26604268335,434129694,2942364236,6545176832,771408224,3955646433
건양대학교,대학교,사립,"충남, 대전","논산시, 서구",www.konyang.ac.kr,6836154,15626999996,9132440,492723700,5173195930,184969464,1622340040
경기과학기술대학교,전문대학,사립,경기,시흥시,www.gtec.ac.kr,6449584,12387700538,54270080,157822849,596880500,191535532,3325098212
경기대학교,대학교,사립,"서울, 경기","수원시, 서대문구",www.kyonggi.ac.kr,7340254,30904994409,216207910,339447000,7531619800,814303600,4669131401
경남대학교,대학교,사립,경남,창원시,www.kyungnam.ac.kr,6535666,23000570147,42846740,403541000,4219456100,728259756,5252607090
경남정보대학교,전문대학,사립,부산,사상구,www.kit.ac.kr,6184280,19618912807,43310280,201953000,846490800,222563752,3313932100
경동대학교,대학교,사립,"강원, 경기","고성군, 속초시, 원주시, 양주시",www.kduniv.ac.kr,8292563,17417265407,415343600,170135000,693761900,8400000,5190306820
경민대학교,전문대학,사립,경기,의정부시,www.kyungmin.ac.kr,6519835,13127156503,586682350,104925554,451758000,272533452,2395647470
경복대학교,전문대학,사립,경기,남양주시,www.kbu.ac.kr,6417120,18860516686,45612300,86770300,194749000,404431364,3235484546
경북과학대학교,전문대학,사립,경북,칠곡군,www.kbsc.ac.kr,5750261,4848007871,0,7000000,147351000,3154414,2033572160
경북대학교,대학교,국립,대구,북구,www.knu.ac.kr,4499843,41995581412,61125980,2976989350,6901994600,1753948070,2262028590
경북보건대학교,전문대학,사립,경북,김천시,www.gch.ac.kr,5612046,3518085306,8592380,38590378,357897200,124299344,444239210
경북전문대학교,전문대학,사립,경북,영주시,www.kbc.ac.kr,5785792,8449392300,6516880,29135000,409994000,111830990,1723433950
경상국립대학교,대학교,국립,경남,진주시,www.gnu.ac.kr,4042102,30664005292,198544620,958753680,3861367230,1707913842,1125682860
경성대학교,대학교,사립,부산,남구,ks.ac.kr,6576506,28881408517,147004330,397812930,4232496400,431330872,4134053030
경운대학교,대학교,사립,경북,구미시,www.ikw.ac.kr,7714151,12380277362,138845720,49920000,641926000,274978196,5254294469
경인여자대학교,전문대학,사립,인천,계양구,www.kiwu.ac.kr,6258246,12236288274,1530000,41732000,683485000,291255786,2072387300
경일대학교,대학교,사립,경북,경산시,www.kiu.ac.kr,7376019,20689257624,8030880,159579500,2160935100,351463486,3804100610
경주대학교,대학교,사립,경북,경주시,www.gju.ac.kr,7220827,619237407,0,11600000,62418000,27159028,1583032500
경희대학교,대학교,사립,서울,동대문구,www.khu.ac.kr,7991355,43310114133,379633340,3000868177,9223085908,560974850,11262940624
계명대학교,대학교,사립,대구,달서구,www.kmu.ac.kr,7279405,54009173885,153699890,771666681,11627885300,1855773718,9094094724
계명문화대학교,전문대학,사립,대구,달서구,www.kmcu.ac.kr,5960246,15784929898,19562560,71940000,437619140,453913502,3566830610
계원예술대학교,전문대학,사립,경기,의왕시,www.kaywon.ac.kr,7650237,7513957894,9000000,66310000,821180000,412540076,382942800
고구려대학교,전문대학,사립,전남,나주시,www.kgrc.ac.kr,4417214,2158303800,0,3000000,56030000,0,2216244500
고려대학교,대학교,사립,"세종, 서울","성북구, 조치원읍",www.korea.ac.kr,8372225,27944991316,892313890,7762411212,2358250700,3880231891,13323271742
고신대학교,대학교,사립,부산,영도구,www.kosin.ac.kr,6654016,9839044235,31415240,558070600,1268873500,308642664,1429282992
공주대학교,대학교,국립,충남,공주시,www.kongju.ac.kr,3828317,24689803735,215676950,342895420,3817786000,1111624950,1516302418
광신대학교,대학교,사립,광주,북구,www.kwangshin.ac.kr,5967803,1664118220,0,24700000,7652000,24691380,455320600
광양보건대학교,전문대학,사립,전남,광양시,www.gy.ac.kr,5608630,10900000,0,0,0,0,20750000
광운대학교,대학교,사립,서울,노원구,www.kw.ac.kr,7885046,15395097703,68986260,386424500,2953939500,1327602782,3234786550
광주대학교,대학교,사립,광주,남구,www.gwangju.ac.kr,6591901,18679354298,46662200,196720000,1582364570,159724272,4363592010
광주보건대학교,전문대학,사립,광주,광산구,www.ghu.ac.kr,5183650,10483041269,10316400,54000000,693697400,63520506,474936500
광주여자대학교,대학교,사립,광주,광산구,www.kwu.ac.kr,6311353,12437780111,37385600,153464500,1153189160,305346320,2117659950
구미대학교,전문대학,사립,경북,구미시,www.gumi.ac.kr,5871705,19099456969,62026140,55984000,303042500,504463116,7086004490
국민대학교,대학교,사립,서울,성북구,www.kookmin.ac.kr,7976046,32222895918,568318910,2221634470,4916183000,1640862192,7882434350
국제대학교,전문대학,사립,경기,평택시,www.kookje.ac.kr,6682105,7395534307,5967300,62622600,341153500,150588563,1338072550
군산간호대학교,전문대학,사립,전북,군산시,www.kcn.ac.kr,6353625,2881429504,0,22500000,169808334,23065001,330800000
군산대학교,대학교,국립,전북,군산시,www.kunsan.ac.kr,3918285,13692220085,212769000,227594200,1940799800,234849130,1059399920
군장대학교,전문대학,사립,전북,군산시,www.kunjang.ac.kr,5813980,5102820621,7600000,47300000,73012500,16774872,1144060750
극동대학교,대학교,사립,충북,음성군,www.kdu.ac.kr,7581231,8034680921,7000000,52807000,1073316100,315941204,1266257000
금강대학교,대학교,사립,충남,논산시,www.ggu.ac.kr,6598000,522688590,0,5682000,789006000,43267960,246985378
금오공과대학교,대학교,국립,경북,구미시,www.kumoh.ac.kr,3765638,11830888803,24499980,481110350,1049612020,342959722,707617990
기독간호대학교,전문대학,사립,광주,남구,ccn.ac.kr,5363375,1579967923,0,14953128,142123000,11886862,95294846
김천대학교,대학교,사립,경북,김천시,www.gimcheon.ac.kr,7114508,6386279578,776880,127314915,641582001,113706249,3558440509
김포대학교,전문대학,사립,경기,김포시,ukp.ac.kr,6453746,5591284048,5100600,126643900,192035500,26783862,919111700
김해대학교,전문대학,사립,경남,김해시,www.gimhae.ac.kr,5925590,5279854566,10590420,87000000,262390000,120447624,842007000
나사렛대학교,대학교,사립,충남,천안시,www.kornu.ac.kr,7207401,15158856292,11100600,165950000,2775402000,306566188,1393057050
남부대학교,대학교,사립,광주,광산구,www.nambu.ac.kr,6545359,7756804486,2500000,68111250,556758000,51603464,2401867900
남서울대학교,대학교,사립,충남,천안시,www.nsu.ac.kr/,7924049,22989838618,59306130,259866100,4410669150,219971264,2898773750
농협대학교,전문대학,사립,경기,고양시,www.nonghyup.ac.kr,4982667,646427218,5128560,17444000,156032000,10606142,123036000
단국대학교,대학교,사립,"충남, 경기","용인시, 천안시",www.dankook.ac.kr,8073411,47759877507,155146740,1236818110,2154722484,503333458,16113787423
단국대학교,대학교,사립,"충남, 경기","용인시, 천안시",www.dankook.ac.kr,8222972,47759877507,155146740,1236818110,2154722484,503333458,16113787423
대경대학교,전문대학,사립,경북,경산시,www.tk.ac.kr,6259436,11821766253,13256680,32310900,229920330,115594396,4697528470
대구가톨릭대학교,대학교,사립,경북,경산시,www.cu.ac.kr,7257370,32729308250,53216930,333563000,3456575925,1247607470,6890625740
대구공업대학교,전문대학,사립,대구,달서구,www.ttc.ac.kr,5831269,3800376408,0,14500000,108754000,88529512,1705962130
대구과학대학교,전문대학,사립,대구,북구,www.tsu.ac.kr,5779091,15123440328,3092160,51560000,772252860,315365002,3487990660
대구대학교,대학교,사립,경북,경산시,www.daegu.ac.kr,6922821,49768120575,511149710,1623239698,8352595070,1213819734,3564391429
대구보건대학교,전문대학,사립,대구,북구,www.dhc.ac.kr,6228972,21092021470,20110120,109000000,1111976500,1107207316,2661470200
대구예술대학교,대학교,사립,경북,칠곡군,www.dgau.ac.kr,8306676,1603721984,1438560,13300000,115351000,84508236,343694340
대구한의대학교,대학교,사립,경북,경산시,www.dhu.ac.kr,7270124,18535035438,245787380,396461380,1215400760,560465602,4783886980
대덕대학교,전문대학,사립,대전,유성구,www.ddu.ac.kr,5767082,5996348159,1827180,25580000,321216870,75723916,1402282570
대동대학교,전문대학,사립,부산,금정구,www.daedong.ac.kr,6011923,4032616508,15851840,59240260,484396000,32426136,493953200
대림대학교,전문대학,사립,경기,안양시,www.daelim.ac.kr,6740121,18929833227,6825200,345955500,2327019600,713132562,1752006510
대신대학교,대학교,사립,경북,경산시,www.daeshin.ac.kr,6545690,1959473360,0,20080000,0,35319610,291761500
대원대학교,전문대학,사립,충북,제천시,www.daewon.ac.kr,5967533,6276260138,369943280,33046300,318656000,55929642,652694040
대전가톨릭대학교,대학교,사립,세종,전의면,dcatholic.ac.kr,5760000,62265000,0,2000000,0,3000000,0
대전과학기술대학교,전문대학,사립,대전,서구,www.dst.ac.kr,5893710,11276085370,9622480,75597000,297441670,71657020,2425714930
대전대학교,대학교,사립,대전,동구,www.dju.ac.kr,7382967,20898675836,10212480,247466300,2510317000,852402198,4912443193
대전보건대학교,전문대학,사립,대전,동구,www.hit.ac.kr,5665916,13461342895,9971940,85268500,1097498150,635363900,1041664165
대전신학대학교,대학교,사립,대전,대덕구,www.daejeon.ac.kr,5956000,262337121,0,11637000,16055000,4072024,14389000
대진대학교,대학교,사립,경기,포천시,www.daejin.ac.kr,7256019,19669788827,56316400,71437000,1386752000,305396388,4470314029
덕성여자대학교,대학교,사립,서울,도봉구,www.duksung.ac.kr,7187575,10134349941,105177065,369311660,2500782110,240457212,1670939894
동강대학교,전문대학,사립,광주,북구,www.dkc.ac.kr,5464931,7370058802,6000000,14872000,81890000,32924378,1704430500
동국대학교,대학교,사립,"서울, 경북","중구, 경주시",www.dongguk.edu,7979547,25534470615,119155360,2066574360,4074305500,2297174270,7537068592
동남보건대학교,전문대학,사립,경기,수원시,www.dongnam.ac.kr,6540901,11298771149,16134800,99032174,1575687200,432976692,904459000
동덕여자대학교,대학교,사립,서울,성북구,www.dongduk.ac.kr,7456251,14024615027,85686660,302731730,3917242762,680848730,1651739710
동명대학교,대학교,사립,부산,남구,www.tu.ac.kr,7058139,22081794022,96092670,183174200,1464159560,314466978,5386262820
동서대학교,대학교,사립,부산,사상구,www.dongseo.ac.kr,6907327,27081831693,67729360,191300000,3435675150,530242382,2998561475
동서울대학교,전문대학,사립,경기,성남시,www.du.ac.kr,6831273,14739835283,5816400,236290000,1278689000,686118122,1698198000
동신대학교,대학교,사립,전남,나주시,www.dsu.ac.kr,6733888,18594192708,111900000,296820000,236620670,322254112,5712032210
동아대학교,대학교,사립,부산,사하구,www.donga.ac.kr,7078779,47365966523,211647005,963835600,7563398680,1013198079,2338322407
