"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"대학","국공립","강릉원주대학교","강원","7259","0","4262795"
"대학","국공립","강원대학교","강원","18255","0","4145285"
"대학","국공립","경북대학교","대구","19070","0","4499843"
"대학","국공립","경상국립대학교","경남","17329","0","4042102"
"대학","국공립","경인교육대학교","인천","2392","0","3316000"
"대학","국공립","공주교육대학교","충남","1415","0","3424000"
"대학","국공립","공주대학교","충남","11115","0","3828317"
"대학","국공립","광주과학기술원","광주","800","0","2060000"
"대학","국공립","광주교육대학교","광주","1303","0","3614682"
"대학","국공립","군산대학교","전북","6888","0","3918285"
"대학","국공립","금오공과대학교","경북","4869","0","3765638"
"대학","국공립","대구경북과학기술원","대구","880","0","7280000"
"대학","국공립","대구교육대학교","대구","1532","0","3712000"
"대학","국공립","목포대학교","전남","6316","0","3887172"
"대학","국공립","목포해양대학교","전남","2732","0","3404767"
"대학","국공립","부경대학교","부산","13121","0","4035531"
"대학","국공립","부산교육대학교","부산","1424","0","3144000"
"대학","국공립","부산대학교","부산","17537","0","4464815"
"대학","국공립","서울과학기술대학교","서울","8552","0","5465375"
"대학","국공립","서울교육대학교","서울","1420","0","3088000"
"대학","국공립","서울대학교","서울","13222","0","6011720"
"대학","국공립","서울시립대학교","서울","6936","0","2395890"
"대학","국공립","순천대학교","전남","6599","0","3951411"
"대학","국공립","안동대학교","경북","5693","0","3748928"
"대학","국공립","울산과학기술원","울산","1560","0","6211367"
"대학","국공립","인천대학교","인천","9968","0","4632119"
"대학","국공립","전남대학교","광주","17057","0","4157180"
"대학","국공립","전북대학교","전북","15794","0","4431726"
"대학","국공립","전주교육대학교","전북","1137","0","3458000"
"대학","국공립","제주대학교","제주","8710","0","3977333"
"대학","국공립","진주교육대학교","경남","1242","0","3582454"
"대학","국공립","창원대학교","경남","6768","0","3876810"
"대학","국공립","청주교육대학교","충북","1144","0","3414000"
"대학","국공립","춘천교육대학교","강원","1284","0","3313000"
"대학","국공립","충남대학교","대전","14673","0","4364968"
"대학","국공립","충북대학교","충북","11526","0","4289666"
"대학","국공립","한경국립대학교","경기","5088","0","3906397"
"대학","국공립","한국과학기술원","대전","3880","0","6866000"
"대학","국공립","한국교원대학교","충북","2184","0","3179374"
"대학","국공립","한국교통대학교","충북","7671","0","4110184"
"대학","국공립","한국방송통신대학교","서울","232190","0","760969"
"대학","국공립","한국에너지공과대학교","전남","201","0","9000000"
"대학","국공립","한국예술종합학교","서울","2252","0","4806455"
"대학","국공립","한국전통문화대학교","충남","560","0","3268786"
"대학","국공립","한국체육대학교","서울","2150","0","3859865"
"대학","국공립","한국해양대학교","부산","5556","0","3723612"
"대학","국공립","한밭대학교","대전","7488","0","4471034"
"대학","사립","가야대학교","경남","2006","0","6833450"
"대학","사립","가천대학교","경기","16164","0","8330044"
"대학","사립","가톨릭관동대학교","강원","7701","0","7185831"
"대학","사립","가톨릭꽃동네대학교","충북","432","0","7397204"
"대학","사립","가톨릭대학교","경기","7310","0","7314392"
"대학","사립","감리교신학대학교","서울","792","0","6470097"
"대학","사립","강남대학교","경기","5964","0","7535147"
"대학","사립","강서대학교","서울","1108","0","7113431"
"대학","사립","건국대학교","서울","18374","0","8239083"
"대학","사립","건양대학교","충남","6620","0","6836154"
"대학","사립","건양사이버대학교","대전","3168","0","2461080"
"대학","사립","경기대학교","경기","11759","0","7340254"
"대학","사립","경남대학교","경남","9865","0","6535666"
"대학","사립","경동대학교","강원","6628","0","8292563"
"대학","사립","경성대학교","부산","11145","0","6576506"
"대학","사립","경운대학교","경북","4736","0","7714151"
"대학","사립","경일대학교","경북","6323","0","7376019"
"대학","사립","경주대학교","경북","2973","0","7220827"
"대학","사립","경희대학교","서울","19823","0","7991355"
"대학","사립","경희사이버대학교","서울","9250","0","2774486"
"대학","사립","계명대학교","대구","18692","0","7279405"
"대학","사립","고려대학교","서울","21423","0","8372225"
"대학","사립","고려사이버대학교","서울","7378","0","2363261"
"대학","사립","고신대학교","부산","3671","0","6654016"
"대학","사립","광신대학교","광주","488","0","5967803"
"대학","사립","광운대학교","서울","6767","0","7885046"
"대학","사립","광주가톨릭대학교","전남","160","0","0"
"대학","사립","광주대학교","광주","6242","0","6591901"
"대학","사립","광주여자대학교","광주","3633","0","6311353"
"대학","사립","국민대학교","서울","11713","0","7976046"
"대학","사립","국제사이버대학교","경기","2890","0","2537682"
"대학","사립","극동대학교","충북","3535","0","7581231"
"대학","사립","글로벌사이버대학교","충남","3614","0","2455661"
"대학","사립","금강대학교","충남","440","0","6598000"
"대학","사립","김천대학교","경북","2681","0","7114508"
"대학","사립","나사렛대학교","충남","4844","0","7207401"
"대학","사립","남부대학교","광주","2634","0","6545359"
"대학","사립","남서울대학교","충남","8770","0","7924049"
